"","word","sentiment"
"1","cielo","neutral"
"2","controllo","neutral"
"3","film","neutral"
"4","confermare","positive"
"5","dirigere","neutral"
"6","spettacolare","positive"
"7","attivitÃ ","neutral"
"8","definitivo","neutral"
"9","tradire","negative"
"10","artificiale","neutral"
"11","convinto","positive"
"12","morire","negative"
"13","registrare","neutral"
"14","assurdo","negative"
"15","sensibile","positive"
"16","notte","neutral"
"17","piano","neutral"
"18","sospetto","negative"
"19","recitare","neutral"
"20","effettuare","neutral"
"21","dire","neutral"
"22","intendere","neutral"
"23","vincere","positive"
"24","professore","neutral"
"25","eccessivo","negative"
"26","usare","neutral"
"27","comico","positive"
"28","sviluppare","positive"
"29","lieve","positive"
"30","madre","neutral"
"31","provocare","negative"
"32","aria","neutral"
"33","comunitÃ ","neutral"
"34","avviare","neutral"
"35","gettare","negative"
"36","dovere","neutral"
"37","noto","positive"
"38","marito","neutral"
"39","interiore","neutral"
"40","piacevole","positive"
"41","produrre","positive"
"42","matrimonio","neutral"
"43","volto","neutral"
"44","scuola","neutral"
"45","costringere","negative"
"46","globale","neutral"
"47","ammettere","neutral"
"48","prontamente","positive"
"49","momento","neutral"
"50","atto","positive"
"51","compagno","positive"
"52","bisogno","neutral"
"53","adempiutamente","positive"
"54","agile","positive"
"55","aiuto","positive"
"56","arrestare","negative"
"57","caro","neutral"
"58","serata","neutral"
"59","gruppo","neutral"
"60","delitto","negative"
"61","migliorare","positive"
"62","esperienza","positive"
"63","occupare","neutral"
"64","decisione","positive"
"65","vario","neutral"
"66","prudente","positive"
"67","puntuale","positive"
"68","vivace","positive"
"69","segnare","neutral"
"70","a_bassa_voce","neutral"
"71","teatro","neutral"
"72","colpo","neutral"
"73","troppo","negative"
"74","rubare","negative"
"75","mostra","neutral"
"76","assoluto","neutral"
"77","colore","neutral"
"78","imminente","neutral"
"79","ubriaco","negative"
"80","termine","neutral"
"81","informazione","positive"
"82","improvvisamente","neutral"
"83","denso","neutral"
"84","terribile","negative"
"85","attenzione","positive"
"86","splendido","positive"
"87","lecitamente","positive"
"88","inserire","neutral"
"89","legge","neutral"
"90","parere","neutral"
"91","disponibile","positive"
"92","conquistare","neutral"
"93","presenza","neutral"
"94","possibilmente","neutral"
"95","idea","positive"
"96","indossare","neutral"
"97","subito","positive"
"98","affascinante","positive"
"99","seguente","neutral"
"100","artista","positive"
"101","carcere","negative"
"102","urbano","neutral"
"103","spirito","positive"
"104","paio","neutral"
"105","creare","neutral"
"106","lecito","positive"
"107","vendita","neutral"
"108","civile","positive"
"109","spendere","neutral"
"110","allegramente","positive"
"111","estensivamente","neutral"
"112","pesce","neutral"
"113","giustamente","positive"
"114","onesto","positive"
"115","pacifico","positive"
"116","importare","neutral"
"117","teorico","neutral"
"118","accettare","positive"
"119","condannare","negative"
"120","rinunciare","negative"
"121","furioso","negative"
"122","generico","neutral"
"123","distratto","negative"
"124","scappare","negative"
"125","misterioso","neutral"
"126","affidare","neutral"
"127","riguardare","neutral"
"128","finto","negative"
"129","impedire","negative"
"130","successivo","neutral"
"131","attraversare","neutral"
"132","regalare","positive"
"133","necessitÃ ","negative"
"134","spostare","neutral"
"135","accompagnare","neutral"
"136","segno","neutral"
"137","libero","positive"
"138","serie","neutral"
"139","produzione","neutral"
"140","sguardo","neutral"
"141","giudicare","neutral"
"142","nei pressi","neutral"
"143","prezzo","neutral"
"144","ad alta voce","neutral"
"145","cocciutamente","negative"
"146","offrire","positive"
"147","gratuito","positive"
"148","comporre","neutral"
"149","iniziativa","positive"
"150","magnetico","positive"
"151","suggerire","neutral"
"152","tribunale","neutral"
"153","ritornare","neutral"
"154","invisibile","neutral"
"155","anteriore","neutral"
"156","degno","positive"
"157","estesamente","neutral"
"158","straniero","neutral"
"159","unire","neutral"
"160","affollato","positive"
"161","mezzo","neutral"
"162","utilizzare","neutral"
"163","precisare","positive"
"164","genere","neutral"
"165","spirituale","positive"
"166","specie","neutral"
"167","fuoco","neutral"
"168","versione","neutral"
"169","premio","positive"
"170","magnifico","positive"
"171","borghese","neutral"
"172","prevedere","neutral"
"173","ricordare","neutral"
"174","cantare","neutral"
"175","provvisoriamente","neutral"
"176","natura","neutral"
"177","spontaneo","positive"
"178","largamente","neutral"
"179","drastico","negative"
"180","fragile","negative"
"181","lavoro","neutral"
"182","visita","neutral"
"183","segreto","neutral"
"184","circondare","neutral"
"185","sistema","neutral"
"186","giro","neutral"
"187","competente","positive"
"188","stabilire","neutral"
"189","conoscenza","positive"
"190","adagio","neutral"
"191","attore","neutral"
"192","luminoso","positive"
"193","amato","positive"
"194","gestire","neutral"
"195","riferire","neutral"
"196","parziale","negative"
"197","contrario","negative"
"198","aggressivo","negative"
"199","commerciale","neutral"
"200","ambiguo","negative"
"201","appoggiare","neutral"
"202","affare","positive"
"203","capace","positive"
"204","quartiere","neutral"
"205","imponente","positive"
"206","fuggire","negative"
"207","grave","negative"
"208","sicuramente","neutral"
"209","guidare","neutral"
"210","superare","neutral"
"211","nascondere","negative"
"212","guadagnare","positive"
"213","del_tutto","neutral"
"214","cura","positive"
"215","luce","neutral"
"216","battaglia","negative"
"217","positivamente","positive"
"218","repentinamente","neutral"
"219","effetto","neutral"
"220","solamente","neutral"
"221","ricorrere","neutral"
"222","considerare","neutral"
"223","mortale","negative"
"224","geloso","negative"
"225","impegnativo","negative"
"226","risolvere","positive"
"227","azione","neutral"
"228","tema","neutral"
"229","insidioso","negative"
"230","insufficiente","negative"
"231","citare","neutral"
"232","incapace","negative"
"233","tipo","neutral"
"234","inatteso","positive"
"235","possibilitÃ ","positive"
"236","medico","neutral"
"237","fermare","neutral"
"238","corretto","positive"
"239","intelligente","positive"
"240","proporre","neutral"
"241","palazzo","neutral"
"242","tranquillo","positive"
"243","ribelle","neutral"
"244","ferito","negative"
"245","andare","neutral"
"246","cittÃ ","neutral"
"247","capacitÃ ","positive"
"248","significare","neutral"
"249","ampio","positive"
"250","obiettivo","positive"
"251","sposare","neutral"
"252","sincero","positive"
"253","realistico","positive"
"254","colorato","positive"
"255","fissare","neutral"
"256","lentamente","neutral"
"257","negare","negative"
"258","consentire","positive"
"259","cominciare","neutral"
"260","regista","neutral"
"261","finale","neutral"
"262","coerente","positive"
"263","scattare","neutral"
"264","stanza","neutral"
"265","guardia","neutral"
"266","immediatamente","neutral"
"267","interminabile","negative"
"268","mente","neutral"
